RANK	MIN_DETECTABLE_RR	SOURCE_ID	DRUG_CONCEPT_ID	CONDITION_CONCEPT_ID	GROUND_TRUTH	LOGRR	LOGLB95RR	P	ANALYSIS_ID	p_full	source_name	condition_name	CONCEPT_ID	rxnorm_concept_name	atc5_concept_id	atc5_concept_name	atc3_concept_id	atc3_concept_name	atc1_concept_id	atc1_concept_name
13	1.02	29	1195492	500000301	1	0.0614033	0.03583471	1.26E-06	1939010	1.26E-06	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1195492	Etodolac	21603940	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
14	1.03	29	1036228	500000301	0	0.0545787	0.03151949	1.75E-06	1939010	1.75E-06	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1036228	Sucralfate	21600109	OTHER DRUGS FOR PEPTIC ULCER AND GORD	21600046	DRUGS FOR ACID RELATED DISORDERS	21600001	ALIMENTARY TRACT AND METABOLISM
15	1.01	29	1136980	500000301	1	0.0291037	0.01446842	4.86E-05	1939010	4.86E-05	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1136980	Ketorolac	21603940	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
16	1.01	29	1149380	500000301	0	0.0293887	0.01426116	7.01E-05	1939010	7.01E-05	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1149380	fluticasone	21605042	CORTICOSTEROIDS	21605008	NASAL PREPARATIONS	21605007	RESPIRATORY SYSTEM
17	1.1	29	1305447	500000301	1	0.211651	0.0883864	0.000382235	1939010	0.000382235	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1305447	Methyldopa	21600394	METHYLDOPA	21600381	ANTIHYPERTENSIVES	21601237	CARDIOVASCULAR SYSTEM
18	1.01	29	1742253	500000301	1	0.0180381	0.007082621	0.000625338	1939010	0.000625338	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1742253	Levofloxacin	21603594	OTHER ANTIINFECTIVES	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
19	1.04	29	1580747	500000301	0	0.053035	0.01461645	0.003408664	1939010	0.003408664	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1580747	sitagliptin	21600783	DIPEPTIDYL PEPTIDASE 4 (DPP-4) INHIBITORS	21600712	DRUGS USED IN DIABETES	21600001	ALIMENTARY TRACT AND METABOLISM
20	1.02	29	1167322	500000301	1	0.0409101	0.006811196	0.009349866	1939010	0.009349866	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1167322	Allopurinol	21604130	PREPARATIONS INHIBITING URIC ACID PRODUCTION	21604128	ANTIGOUT PREPARATIONS	21603931	MUSCULO-SKELETAL SYSTEM
21	1.04	29	745466	500000301	1	0.0453853	0.0043576	0.01507424	1939010	0.015074244	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	745466	Valproate	21604421	FATTY ACID DERIVATIVES	21604389	ANTIEPILEPTICS	21604180	NERVOUS SYSTEM
22	1.14	29	1736971	500000301	1	0.16861	0.00854366	0.01948145	1939010	0.019481448	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1736971	abacavir	21603159	NUCLEOSIDE & NUCLEOTIDE RTIS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
23	1.03	29	1309204	500000301	0	0.0256952	0.001104256	0.02028117	1939010	0.02028117	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1309204	Adenosine	21600363	OTHER CARDIAC PREPARATIONS	21601238	CARDIAC THERAPY	21601237	CARDIOVASCULAR SYSTEM
24	1.12	29	1710612	500000301	1	0.128082	0.003285272	0.02213317	1939010	0.02213317	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1710612	Zidovudine	21603159	NUCLEOSIDE & NUCLEOTIDE RTIS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
25	1.05	29	1436678	500000301	1	0.068999	0.000376852	0.02437753	1939010	0.024377527	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1436678	Tamoxifen	21603830	ANTI-ESTROGENS	21603812	ENDOCRINE THERAPY	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
26	1.03	29	1146810	500000301	1	0.0353845	-0.000438616	0.02643591	1939010	0.026435914	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1146810	Piroxicam	21604036	"ANTIINFLAMMATORY PREPS, NON-STEROIDS TOPICAL USE"	21604034	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	21603931	MUSCULO-SKELETAL SYSTEM
27	1.2	29	1304107	500000301	1	0.14607	-0.002552684	0.02703344	1939010	0.027033435	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1304107	imatinib	21603771	PROTEIN KINASE INHIBITORS	21601387	ANTINEOPLASTIC AGENTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
28	1.02	29	923672	500000301	0	0.0171008	-0.001971901	0.03943114	1939010	0.039431136	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	923672	Hyoscyamine	21600191	"BELLADONNA ALKALOIDS, TERTIARY AMINES"	21600127	DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS	21600001	ALIMENTARY TRACT AND METABOLISM
29	1.14	29	1702559	500000301	0	0.109278	-0.0208564	0.04989792	1939010	0.049897917	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1702559	Tinidazole	21604856	NITROIMIDAZOLE DERIVATIVES	21604848	ANTIPROTOZOALS	21604847	"ANTIPARASITIC PRODUCTS, INSECTICIDES & REPELLENTS"
30	1.06	29	1716721	500000301	1	0.0321779	-0.01481918	0.0898068	1939010	0.089806795	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1716721	gemifloxacin	21603007	FLUOROQUINOLONES	21602796	ANTIBACTERIALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
31	1.21	29	1724869	500000301	1	0.117258	-0.06551337	0.1042997	1939010	0.104299732	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1724869	Didanosine	21603159	NUCLEOSIDE & NUCLEOTIDE RTIS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
32	1.06	29	1703653	500000301	1	0.0404495	-0.02705898	0.1201245	1939010	0.120124511	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1703653	Itraconazole	21603079	TRIAZOLE DERIVATIVES	21603071	ANTIMYCOTICS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
33	1.07	29	1103552	500000301	0	0.0484994	-0.0371969	0.133665	1939010	0.13366504	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1103552	almotriptan	21604375	SELECTIVE SEROTONIN (5HT1) AGONISTS	21604253	ANALGESICS	21604180	NERVOUS SYSTEM
34	1.04	29	1118045	500000301	1	0.0217525	-0.01681462	0.1344818	1939010	0.134481773	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1118045	oxaprozin	21603966	PROPIONIC ACID DERIVATIVES	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
35	1.08	29	937368	500000301	1	0.0432946	-0.03707363	0.145521	1939010	0.145521045	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	937368	infliximab	21603907	TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS	21603890	IMMUNOSUPPRESSANTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
36	1.05	29	740275	500000301	1	0.0250256	-0.03273286	0.1978812	1939010	0.197881177	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	740275	Carbamazepine	21604416	CARBOXAMIDE DERIVATIVES	21604389	ANTIEPILEPTICS	21604180	NERVOUS SYSTEM
37	1.08	29	714684	500000301	1	0.0522695	-0.06876364	0.1986559	1939010	0.198655859	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	714684	nefazodone	21604729	OTHER ANTIDEPRESSANTS	21604685	PSYCHOANALEPTICS	21604180	NERVOUS SYSTEM
38	1.01	29	1136601	500000301	0	0.00683782	-0.009817202	0.2105036	1939010	0.210503593	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1136601	benzonatate	21603409	OTHER COUGH SUPPRESSANTS	21603365	COUGH AND COLD PREPARATIONS	21605007	RESPIRATORY SYSTEM
39	1.01	29	1754994	500000301	1	0.00550619	-0.009922028	0.2421219	1939010	0.24212192	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1754994	Fluconazole	21603079	TRIAZOLE DERIVATIVES	21603071	ANTIMYCOTICS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
40	1.03	29	1331235	500000301	1	0.0135452	-0.03584249	0.2954456	1939010	0.295445621	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1331235	quinapril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
41	1.04	29	1236607	500000301	1	0.011493	-0.03289159	0.3058966	1939010	0.30589661	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1236607	Sulindac	21603940	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
42	1.02	29	1178663	500000301	1	0.00510292	-0.02071812	0.349252	1939010	0.349252015	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1178663	Indomethacin	21603940	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES	21603932	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	21603931	MUSCULO-SKELETAL SYSTEM
43	1.07	29	986117	500000301	0	0.0147141	-0.06037173	0.3504589	1939010	0.35045889	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	986117	Ketotifen	21605084	OTHER ANTIALLERGICS	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
44	1.06	29	1763779	500000301	0	0.012923	-0.05464819	0.3538885	1939010	0.353888482	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1763779	Griseofulvin	21601965	ANTIFUNGALS FOR SYSTEMIC USE	21601908	ANTIFUNGALS FOR DERMATOLOGICAL USE	21601907	DERMATOLOGICALS
45	1.2	29	1769389	500000301	1	0.0338279	-0.149762	0.3589978	1939010	0.358997762	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1769389	Nevirapine	21603172	NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
46	1.06	29	929435	500000301	1	0.00662187	-0.0653409	0.4284381	1939010	0.428438127	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	929435	Acetazolamide	21603692	CARBONIC ANHYDRASE INHIBITORS	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
47	1.08	29	1111706	500000301	1	0.00818384	-0.1328605	0.4547286	1939010	0.454728574	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1111706	zafirlukast	21603353	LEUKOTRIENE RECEPTOR ANTAGONISTS	21603248	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	21605007	RESPIRATORY SYSTEM
48	1.01	29	1729720	500000301	0	0.000266397	-0.01516161	0.4865012	1939010	0.486501217	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1729720	Penicillin V	21602840	BETA-LACTAMASE SENSITIVE PENICILLINS	21602796	ANTIBACTERIALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
49	1.17	29	1102917	500000301	1	0.000558962	-0.1211592	0.4964093	1939010	0.496409297	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1102917	Tolmetin	21604036	"ANTIINFLAMMATORY PREPS, NON-STEROIDS TOPICAL USE"	21604034	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	21603931	MUSCULO-SKELETAL SYSTEM
50	1.21	29	1781406	500000301	1	-0.00247713	-0.1852597	0.5105955	1939010	0.5105955	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1781406	Stavudine	21603159	NUCLEOSIDE & NUCLEOTIDE RTIS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
51	1.11	29	1554072	500000301	1	-0.00464307	-0.12997	0.5289426	1939010	0.528942585	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1554072	Propylthiouracil	21602760	THIOURACILS	21602751	THYROID THERAPY	21602681	"SYSTEMIC HORMONAL PREPS,EXCL SEX HORMONES & INSULN"
52	1.06	29	1340128	500000301	1	-0.00387909	-0.08460286	0.5375184	1939010	0.537518442	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1340128	Captopril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
53	1.09	29	1145379	500000301	0	-0.00592229	-0.1233337	0.5393759	1939010	0.539375901	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1145379	Ergotamine	21604365	ERGOT ALKALOIDS	21604253	ANALGESICS	21604180	NERVOUS SYSTEM
54	1.03	29	1318853	500000301	1	-0.00305642	-0.04681009	0.5544505	1939010	0.554450452	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1318853	Nifedipine	21601746	DIHYDROPYRIDINE DERIVATIVES	21601744	CALCIUM CHANNEL BLOCKERS	21601237	CARDIOVASCULAR SYSTEM
55	1.11	29	1738135	500000301	1	-0.0135468	-0.1473983	0.5786196	1939010	0.578619599	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1738135	efavirenz	21603172	NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS	21603126	ANTIVIRALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
56	1.01	29	1137529	500000301	0	-0.00489477	-0.02739224	0.6651024	1939010	0.665102363	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1137529	salmeterol	21603255	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	21603248	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	21605007	RESPIRATORY SYSTEM
57	1.15	29	907879	500000301	0	-0.0485182	-0.1823529	0.7613131	1939010	0.761313081	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	907879	Miconazole	21605146	ANTIINFECTIVES	21605144	OTOLOGICALS	21603550	SENSORY ORGANS
58	1.03	29	918906	500000301	0	-0.0131018	-0.04836671	0.7667471	1939010	0.766747057	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	918906	oxybutynin	21602633	URINARY ANTISPASMODICS	21602627	UROLOGICALS	21602359	GENITO URINARY SYSTEM AND SEX HORMONES
59	1.05	29	1342439	500000301	1	-0.0247681	-0.08974896	0.7724863	1939010	0.772486269	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1342439	trandolapril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
60	1.06	29	904356	500000301	0	-0.0522699	-0.1603376	0.8284327	1939010	0.828432679	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	904356	Methenamine	21603060	OTHER ANTIBACTERIALS	21602796	ANTIBACTERIALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
61	1.11	29	954853	500000301	0	-0.0530951	-0.1547715	0.8469613	1939010	0.84696126	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	954853	Flavoxate	21602633	URINARY ANTISPASMODICS	21602627	UROLOGICALS	21602359	GENITO URINARY SYSTEM AND SEX HORMONES
62	1.12	29	990499	500000301	0	-0.0694391	-0.190739	0.8690682	1939010	0.869068205	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	990499	"Sodium Phosphate, Monobasic"	NULL	NULL	NULL	NULL	NULL	NULL
63	1.08	29	1336825	500000301	1	-0.0570028	-0.1558627	0.870787	1939010	0.870787024	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1336825	bortezomib	21603783	OTHER ANTINEOPLASTIC AGENTS	21601387	ANTINEOPLASTIC AGENTS	21601386	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
64	1.18	29	1836503	500000301	1	-0.128666	-0.3492228	0.87356	1939010	0.873560011	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1836503	Sulfisoxazole	21602934	SHORT-ACTING SULFONAMIDES	21602796	ANTIBACTERIALS FOR SYSTEMIC USE	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
65	1.12	29	1037005	500000301	0	-0.0515914	-0.1217353	0.9252881	1939010	0.925288081	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1037005	Tetrahydrocannabinol	21600498	OTHER ANTIEMETICS	21600490	ANTIEMETICS AND ANTINAUSEANTS	21600001	ALIMENTARY TRACT AND METABOLISM
66	1.07	29	1504620	500000301	1	-0.0663349	-0.1512664	0.9370918	1939010	0.937091827	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1504620	Methimazole	21602764	SULFUR-CONTAINING IMIDAZOLE DERIVATIVES	21602751	THYROID THERAPY	21602681	"SYSTEMIC HORMONAL PREPS,EXCL SEX HORMONES & INSULN"
67	1.03	29	923081	500000301	1	-0.0239042	-0.05391454	0.9407586	1939010	0.940758646	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	923081	Ofloxacin	21605146	ANTIINFECTIVES	21605144	OTOLOGICALS	21603550	SENSORY ORGANS
68	1.17	29	1721543	500000301	1	-0.0904622	-0.1942973	0.9561391	1939010	0.956139147	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1721543	Norfloxacin	21603594	OTHER ANTIINFECTIVES	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
69	1.11	29	739323	500000301	0	-0.0753787	-0.1608333	0.9580834	1939010	0.958083391	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	739323	Droperidol	21604515	BUTYROPHENONE DERIVATIVES	21604489	PSYCHOLEPTICS	21604180	NERVOUS SYSTEM
70	1.05	29	735340	500000301	0	-0.0496002	-0.1044739	0.96177	1939010	0.961769998	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	735340	Phentermine	21600681	CENTRALLY ACTING ANTIOBESITY PRODUCTS	21600679	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"	21600001	ALIMENTARY TRACT AND METABOLISM
71	1.02	29	1328165	500000301	1	-0.0288102	-0.05703636	0.9772779	1939010	0.977277875	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1328165	Diltiazem	21601770	BENZOTHIAZEPINE DERIVATIVES	21601744	CALCIUM CHANNEL BLOCKERS	21601237	CARDIOVASCULAR SYSTEM
72	1.06	29	1310756	500000301	1	-0.101686	-0.1984457	0.9802888	1939010	0.980288804	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1310756	moexipril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
73	1.05	29	917006	500000301	0	-0.0913093	-0.1683034	0.9899472	1939010	0.9899472	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	917006	Benzocaine	21605181	ANALGESICS AND ANESTHETICS	21605144	OTOLOGICALS	21603550	SENSORY ORGANS
74	1.06	29	1763204	500000301	1	-0.0669541	-0.1217206	0.9917154	1939010	0.991715372	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1763204	Rifampin	21603095	ANTIBIOTICS	21603089	ANTIMYCOBACTERIALS	21602795	ANTIINFECTIVES FOR SYSTEMIC USE
75	1.09	29	751347	500000301	0	-0.112514	-0.2040893	0.9919823	1939010	0.991982341	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	751347	Primidone	21604391	BARBITURATES AND DERIVATIVES	21604389	ANTIEPILEPTICS	21604180	NERVOUS SYSTEM
76	1.02	29	1789276	500000301	0	-0.035139	-0.05813587	0.9986269	1939010	0.998626888	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1789276	gatifloxacin	21603594	OTHER ANTIINFECTIVES	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
77	1.03	29	721724	500000301	1	-0.0518753	-0.0857098	0.9986722	1939010	0.998672247	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	721724	Nortriptyline	21604687	NON-SELECTIVE MONOAMINE REUPTAKE INHIBITORS	21604685	PSYCHOANALEPTICS	21604180	NERVOUS SYSTEM
78	1.03	29	19010482	500000301	1	-0.0589649	-0.0963029	0.9990166	1939010	0.999016643	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	19010482	Cyclosporine	21605126	OTHER OPHTHALMOLOGICALS	21603551	OPHTHALMOLOGICALS	21603550	SENSORY ORGANS
79	1.02	29	1334456	500000301	1	-0.0552149	-0.08758862	0.9995853	1939010	0.99958533	MarketScan Commercial Claims and Encounters (CCAE)	OMOP Acute Liver Failure 1	1334456	Ramipril	21601784	"ACE INHIBITORS, PLAIN"	21601782	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM	21601237	CARDIOVASCULAR SYSTEM
